runtime,l1_error,l2_error,rel_error
9.497980999946594238e+01,1.363235962994057554e-02,4.499444298300023476e-04,1.660816137242275392e+00
9.699703168869018555e+01,1.033454801621172016e-02,2.540726811866067308e-04,1.214546736958796558e+00
1.004984421730041504e+02,1.288881535365419412e-02,2.728236703356347109e-04,6.983579661286907214e-01
9.810233855247497559e+01,1.144909592838051250e-02,2.438947355839848159e-04,1.153657100564429605e+00
1.076193590164184570e+02,1.501156216589468601e-02,3.589909684213131967e-04,8.109813000434116237e-01
9.550689148902893066e+01,1.230293399682591549e-02,4.103195585561283509e-04,1.314151587129314569e+00
9.275612807273864746e+01,1.623847361145044910e-02,4.988695653958765850e-04,9.622512475161920653e-01
9.372450232505798340e+01,1.224860567284082394e-02,3.797651221179880379e-04,1.326460715777804777e+00
9.316193246841430664e+01,1.176612688793792286e-02,2.182983061845139572e-04,7.742204345604243310e-01
9.054998755455017090e+01,1.545418781819075417e-02,3.571319776036542310e-04,1.129610060222758783e+00
