runtime,l1_error,l2_error,rel_error
4.431217694282531738e+01,8.417102940413007106e-04,1.208312839958580225e-06,2.545555990891226403e-03
4.246119928359985352e+01,1.104170652582255833e-03,2.619657149838416903e-06,2.641793770741987513e-03
4.408398342132568359e+01,1.488415032792045865e-03,4.454224621357373271e-06,3.223711856234682312e-03
4.805180406570434570e+01,9.585218025316411244e-04,1.837711793338650021e-06,2.397693431648745613e-03
4.294610142707824707e+01,1.025651743870481525e-03,1.898368744272284056e-06,2.371812277530605320e-03
4.208875942230224609e+01,1.021636029515563633e-03,1.996339257454553295e-06,2.560111849696044758e-03
4.935674357414245605e+01,1.109042244742840331e-03,2.091974762064184107e-06,2.355315991434561371e-03
4.590800690650939941e+01,1.292854174136975421e-03,3.509954188449420546e-06,3.009396299628770265e-03
4.517803668975830078e+01,1.332870355437997716e-03,3.313832487298904524e-06,3.347830360462249015e-03
4.160186028480529785e+01,7.809917130922413740e-04,1.322364391976555016e-06,2.055823274995395404e-03
