runtime,l1_error,l2_error,rel_error
2.122795751094818115e+02,2.358459447077205340e+00,6.972927853455137992e+00,9.175972132917111423e+01
2.284492030143737793e+02,1.876872785472322391e+00,4.981223224242429914e+00,8.294915011655245962e+01
2.141496644020080566e+02,2.158373900655082167e+00,6.695840935557372475e+00,9.656806051683642522e+01
2.159669830799102783e+02,1.424436903652206432e-01,3.603974331168357387e-02,1.029899156393002357e+01
2.020548045635223389e+02,4.299384715549013913e-01,3.275671603276722466e-01,2.711166714010027690e+01
2.128356654644012451e+02,1.522029979522251386e+00,3.631991039555733991e+00,7.468631577823060752e+01
2.115170271396636963e+02,1.847869198969295024e+00,4.622008732919313800e+00,7.882901022183071404e+01
2.160653223991394043e+02,1.679563524209740422e+00,4.060975553870563637e+00,7.611549389247166175e+01
2.245710568428039551e+02,2.356318243681060631e-01,1.182300739915358306e-01,1.785504259989220088e+01
2.220688259601593018e+02,9.224047668719153048e-01,1.102958364432567784e+00,3.179938893044535675e+01
